Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Channel,Postal Code,Product ID,Sales,Quantity,Unit Cost,,
646,CA-2017-126221,12-30-2017,1-5-2018,Standard Class,CC-12430,Home Office,47201,OFF-AP-10002457,209.3,2,76.3945,,
907,CA-2017-143259,12-30-2017,1-3-2018,Standard Class,PO-18865,Consumer,10009,FUR-BO-10003441,323.136,4,77.7546,,
908,CA-2017-143259,12-30-2017,1-3-2018,Standard Class,PO-18865,Consumer,10009,TEC-PH-10004774,90.93,7,12.6003,,
909,CA-2017-143259,12-30-2017,1-3-2018,Standard Class,PO-18865,Consumer,10009,OFF-BI-10003684,52.776,3,10.995,,
1297,CA-2017-115427,12-30-2017,1-3-2018,Standard Class,EB-13975,Corporate,94533,OFF-BI-10002103,13.904,2,4.6926,,
1298,CA-2017-115427,12-30-2017,1-3-2018,Standard Class,EB-13975,Corporate,94533,OFF-BI-10004632,20.72,2,7.1225,,
5092,CA-2017-156720,12-30-2017,1-3-2018,Standard Class,JM-15580,Consumer,80538,OFF-FA-10003472,3.024,3,1.2096,,
1878,CA-2017-118885,12-29-2017,1-2-2018,Standard Class,JG-15160,Consumer,90049,FUR-CH-10002880,393.568,4,109.4611,,
1879,CA-2017-118885,12-29-2017,1-2-2018,Standard Class,JG-15160,Consumer,90049,TEC-PH-10002563,302.376,3,93.2326,,
2875,US-2017-102638,12-29-2017,12-31-2017,First Class,MC-17845,Consumer,10035,OFF-FA-10002988,6.03,3,1.0251,,
4240,CA-2017-158673,12-29-2017,1-4-2018,Standard Class,KB-16600,Corporate,49505,OFF-PA-10000994,209.7,2,54.522,,
5132,CA-2017-146626,12-29-2017,1-5-2018,Standard Class,BP-11185,Corporate,92804,FUR-FU-10002501,101.12,8,7.9632,,
5457,CA-2017-130631,12-29-2017,1-2-2018,Standard Class,BS-11755,Consumer,98026,OFF-FA-10000089,19.6,5,1.9992,,
5458,CA-2017-130631,12-29-2017,1-2-2018,Standard Class,BS-11755,Consumer,98026,FUR-FU-10004093,68.46,2,23.961,,
7633,US-2017-158526,12-29-2017,1-1-2018,Second Class,KH-16360,Consumer,40214,FUR-CH-10002602,1207.84,8,111.7252,,
7634,US-2017-158526,12-29-2017,1-1-2018,Second Class,KH-16360,Consumer,40214,OFF-BI-10002414,12.53,1,6.6409,,
7635,US-2017-158526,12-29-2017,1-1-2018,Second Class,KH-16360,Consumer,40214,OFF-AR-10003696,34.58,1,24.5518,,
7636,US-2017-158526,12-29-2017,1-1-2018,Second Class,KH-16360,Consumer,40214,FUR-CH-10004495,300.98,1,213.6958,,
7637,US-2017-158526,12-29-2017,1-1-2018,Second Class,KH-16360,Consumer,40214,FUR-CH-10001270,258.75,3,60.375,,
271,CA-2017-163979,12-28-2017,1-2-2018,Second Class,KH-16690,Corporate,94110,OFF-ST-10003208,725.84,4,128.8366,,
571,CA-2017-164826,12-28-2017,1-4-2018,Standard Class,JF-15415,Consumer,10024,OFF-LA-10001297,72.45,7,5.382,,
572,CA-2017-164826,12-28-2017,1-4-2018,Standard Class,JF-15415,Consumer,10024,OFF-FA-10000585,13.96,4,1.8846,,
573,CA-2017-164826,12-28-2017,1-4-2018,Standard Class,JF-15415,Consumer,10024,OFF-BI-10001922,33.264,7,3.1482,,
